name,category,color,season,image
wide leg jeans ,Bottom,light denim,All,closet_images\7e68b439dfa74e31a96d3e45be96b2f4.jpg
red shirt,Top,red,Spring,closet_images\4386879603644f0fb88d8365258cce83.jpg
nike sneakers,Shoes,white and blue,All,closet_images\a7c5e4480c5b4dcf93e52c10621e55c9.jpg
